InChiKey,drug_code,drug_name,SMILES
OONFNUWBHFSNBT-HXUWFJFHSA-N,AEE-788,,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1
HNFMVVHMKGFCMB-UHFFFAOYSA-N,ARQ-092,Miransertib,Nc1ncccc1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(C2(N)CCC2)cc1
JUPOTOIJLKDAPF-UHFFFAOYSA-N,ARRY-382,,Cc1cccc(Cn2nc(C3CC3)c3c(NC(=O)c4cnc5cc(OCCN6CCN(C)CC6)ccn45)cccc32)n1
LNMRSSIMGCDUTP-UHFFFAOYSA-N,ARRY-614,Pexmetinib,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1
VIUAUNHCRHHYNE-JTQLQIEISA-N,AS-703026,Pimasertib,O=C(NC[C@H](O)CO)c1ccncc1Nc1ccc(I)cc1F
MVZGYPSXNDCANY-UHFFFAOYSA-N,AST-1306,Allitinib,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1
IIRWNGPLJQXWFJ-KRWDZBQOSA-N,AT-13148,,NC[C@@](O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1
YJGVMLPVUAXIQN-HAEOHBJNSA-N,AXL-1717,Picropodophyllin,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC
JUSFANSTBFGBAF-IRXDYDNUSA-N,AZD-2014,Vistusertib,CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1
OHUHVTCQTUDPIJ-JYCIKRDWSA-N,AZD-6738,Ceralasertib,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cc[nH]c3nccc2-3)n1
RWEVIPRMPFNTLO-UHFFFAOYSA-N,AZD-8330,,Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)n(C)c1=O
JBGYKRAZYDNCNV-UHFFFAOYSA-N,BAY-1125976,,NC(=O)c1ccc2nc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)n2n1
NRJKIOCCERLIDG-GOSISDBHSA-N,BAY-1161909,Empesertib,COc1cc(S(C)(=O)=O)ccc1Nc1nc2ccc(-c3ccc(NC(=O)[C@H](C)c4ccc(F)cc4)cc3)cn2n1
WNEILUNVMHVMPH-UHFFFAOYSA-N,BAY-1217389,,COc1ccc(Oc2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)c(F)c1F
QFCXANHHBCGMAS-UHFFFAOYSA-N,BAY-579352,Telatinib,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1
NGFFVZQXSRKHBM-FKBYEOEOSA-N,BGB-283,Lifirafenib,O=C1CCc2c(Oc3ccc4c(c3)[C@@H]3[C@H](O4)[C@H]3c3nc4cc(C(F)(F)F)ccc4[nH]3)ccnc2N1
WCWUXEGQKLTGDX-LLVKDONJSA-N,BMS-540215,Brivanib,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1
CSGQVNMSRKWUSH-IAGOWNOFSA-N,BMS-690514,,COc1cccc(Nc2ncnn3ccc(CN4CC[C@@H](N)[C@H](O)C4)c23)c1
LQVXSNNAFNGRAH-QHCPKHFHSA-N,BMS-754807,,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1
MMNNTJYFHUDSKL-UHFFFAOYSA-N,BMS-908662,,COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cc(Cl)ccc3C)ccc2[nH]1
GMYLVKUGJMYTFB-UHFFFAOYSA-N,CC-115,,CCN1C(=O)CNc2ncc(-c3ccc(-c4nc[nH]n4)nc3C)nc21
UFKLYTOEMRFKAD-SHTZXODSSA-N,CC-223,Onatasertib,CO[C@H]1CC[C@H](N2C(=O)CNc3ncc(-c4ccc(C(C)(C)O)nc4)nc32)CC1
XDJCLCLBSGGNKS-UHFFFAOYSA-N,CC-401,,c1cc(OCCN2CCCCC2)cc(-c2n[nH]c3ccc(-c4nnc[nH]4)cc23)c1
AEULIVPVIDOLIN-UHFFFAOYSA-N,CEP-11981,,CC(C)Cn1c2ccc(Nc3ncccn3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3
MLIFNJABMANKEU-UHFFFAOYSA-N,CEP-5214,,CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3
WVXNSAVVKYZVOE-UHFFFAOYSA-N,DCC-2036,Rebastinib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1
GNNDEPIMDAZHRQ-UHFFFAOYSA-N,DCC-2701,Altiratinib,O=C(Nc1cc(Oc2cc(F)c(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1)C1CC1
CUDVHEFYRIWYQD-UHFFFAOYSA-N,E-3810,Lucitanib,CNC(=O)c1cccc2cc(Oc3ccnc4cc(OCC5(N)CC5)c(OC)cc34)ccc12
IOMMMLWIABWRKL-WUTDNEBXSA-N,EGF-816,Nazartinib,Cc1cc(C(=O)Nc2nc3cccc(Cl)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)ccn1
BLQYVHBZHAISJM-CMDGGOBGSA-N,ENMD-2076,,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1
YIDDLAAKOYYGJG-UHFFFAOYSA-N,GS-4997,Selonsertib,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1
XSMSNFMDVXXHGJ-UHFFFAOYSA-N,GS-9973,Entospletinib,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1
BVAHPPKGOOJSPU-UHFFFAOYSA-N,GSK-2256098,,CONC(=O)c1ccccc1Nc1cc(Nc2cc(C)nn2C(C)C)ncc1Cl
FDMQDKQUTRLUBU-UHFFFAOYSA-N,HM-61713,Olmutinib,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1
LZMJNVRJMFMYQS-UHFFFAOYSA-N,HM-71224,Poseltinib,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1
