Entry,Entry name,Protein names (Simplified),Gene names (primary),Gene names (synonyms),Kinase group,"Length
(AA)",Mass,"Protein names 
(Including synonyms)"
Q2M2I8,AAK1_HUMAN,AP2-associated protein kinase 1 ,AAK1,KIAA1048,Other,961,"103,885",AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)
Q6ZMQ8,LMTK1_HUMAN,Serine/threonine-protein kinase LMTK1 ,AATK,AATYK KIAA0641 LMR1 LMTK1,TK,1374,"144,569",Serine/threonine-protein kinase LMTK1 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase) (AATYK) (Brain apoptosis-associated tyrosine kinase) (CDK5-binding protein) (Lemur tyrosine kinase 1) (p35-binding protein) (p35BP)
P00519,ABL1_HUMAN,Tyrosine-protein kinase ABL1 ,ABL1,ABL JTK7,TK,1130,"122,873",Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)
P42684,ABL2_HUMAN,Tyrosine-protein kinase ABL2 ,ABL2,ABLL ARG,TK,1182,"128,343",Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)
Q04771,ACVR1_HUMAN,Activin receptor type-1 ,ACVR1,ACVRLK2,TKL,509,"57,153",Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)
P36896,ACV1B_HUMAN,Activin receptor type-1B ,ACVR1B,ACVRLK4 ALK4,TKL,505,"56,807",Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)
Q8NER5,ACV1C_HUMAN,Activin receptor type-1C ,ACVR1C,ALK7,TKL,493,"54,871",Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7)
P27037,AVR2A_HUMAN,Activin receptor type-2A ,ACVR2A,ACVR2,TKL,513,"57,848",Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)
Q13705,AVR2B_HUMAN,Activin receptor type-2B ,ACVR2B,,TKL,512,"57,724",Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB)
P37023,ACVL1_HUMAN,Serine/threonine-protein kinase receptor R3 ,ACVRL1,ACVRLK1 ALK1,TKL,503,"56,124",Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)
